new_id,prob
2,0.23579
5,0.01632
6,0.09122
9,0.99859
10,0.10071
12,0.97936
13,0.0038
16,0.99936
18,0.99972
19,0.00207
20,0.99826
23,0.93358
25,0.9843
29,0.6352
31,0.96276
32,0.93191
33,0.02787
35,0.19325
37,0.00379
40,0.00472
47,0.02477
48,0.99739
49,0.40903
52,0.00134
53,0.9533
54,0.36552
55,0.06859
57,0.9961
59,0.999
60,0.99669
61,0.96612
65,0.9999
66,0.99453
69,0.03306
70,0.24448
72,0.74721
73,0.29572
75,0.06365
76,0.04506
80,0.70191
81,0.05981
84,0.0906
87,0.01092
88,0.98204
89,0.06435
90,0.46897
94,0.1313
95,0.26568
96,0.69702
97,0.0039
98,0.2119
100,0.11812
101,0.71328
102,0.96121
104,0.89444
105,0.94705
106,0.01108
107,0.9403
108,0.94808
109,0.00015
111,0.98074
112,0.25661
113,0.99925
119,0.72284
123,0.19327
125,0.32943
126,0.99728
128,0.19289
131,0.0194
133,0.98785
135,0.54251
136,0.9394
137,0.99164
139,0.96604
140,0.00515
141,0.9426
143,0.51258
144,0.86798
151,0.88647
153,0.99093
155,0.01064
156,0.88742
157,0.53983
158,0.00014
160,0.17383
161,0.94708
162,0.23324
163,0.94272
168,0.03176
169,0.92121
171,0.00621
174,0.69193
175,0.00168
176,0.0066
179,0.99713
180,0.95042
181,0.9884
183,0.96448
185,0.00017
187,0.89746
188,0.02411
189,0.37684
190,0.90513
191,0.37937
193,0.31097
195,0.18754
197,0.94131
198,0.03713
199,0.98991
200,0.024
202,0.99836
206,0.76772
211,0.13687
212,0.03696
215,0.01188
217,0.13701
218,0.59327
224,0.07453
228,0.03684
229,0.95902
231,0.97339
232,0.11382
233,0.83327
241,0.00746
242,0.00157
243,0.1473
244,0.9706
245,0.00194
251,0.99679
252,0.94521
256,0.54533
257,0.42549
262,0.72973
264,0.58324
267,0.96702
268,0.03746
271,0.47572
273,0.99961
275,0.00019
276,0.885
277,0.96153
279,0.00371
282,0.82872
283,0.97321
284,0.99498
288,0.11435
290,0.29441
292,0.99848
293,0.92466
295,0.00027
298,0.12696
300,0.01622
303,0.59081
305,0.94734
310,0.0466
314,0.52245
316,0.08845
317,0.03802
320,0.00248
321,0.89259
323,0.90522
324,0.00456
325,0.00317
328,0.70114
329,0.90637
330,0.93212
331,0.97502
332,0.36994
334,0.94933
335,0.01041
336,0.71531
337,0.00867
339,0.68932
343,0.68999
344,0.71419
346,0.09305
347,5e-05
348,0.0478
350,0.97352
351,0.02178
353,0.58947
356,0.82987
357,0.91686
358,0.9905
360,0.93367
361,0.66101
367,0.13478
372,0.99022
374,0.99087
375,0.10137
376,0.18747
378,0.86619
382,0.99707
383,0.65599
384,7e-05
388,0.08387
390,0.00523
391,0.45167
392,0.00043
393,0.08263
394,0.95585
397,0.04481
398,0.97876
399,0.00716
401,0.88449
403,0.87029
404,0.96205
405,0.99821
406,0.99771
409,0.0905
411,0.00151
412,0.91281
413,0.31832
415,0.00041
417,0.96533
419,0.54218
420,0.02583
421,0.96805
423,0.72588
427,0.0445
428,0.89419
429,0.93164
430,0.0244
431,0.30284
432,0.99218
440,0.99503
441,0.30613
442,0.96382
444,0.95008
445,0.99737
447,0.53861
449,0.00055
450,0.9193
452,0.90742
454,0.66862
456,0.99589
462,0.96672
464,0.03347
466,0.05526
468,0.00612
469,0.99263
471,0.0
474,0.08637
477,0.00059
483,0.09272
489,0.60767
491,0.43444
492,0.00109
493,0.01382
494,0.93019
498,0.05251
500,0.99072
502,0.85615
503,0.00141
504,0.9994
506,0.69527
508,0.29037
509,0.25251
511,0.62528
516,0.06945
517,0.00955
519,0.00716
520,0.01908
521,0.81017
522,0.99977
524,0.91881
525,0.9726
529,0.34747
530,0.01918
532,0.00554
535,0.99815
537,0.77352
539,0.95678
540,0.00177
545,0.82335
546,0.00214
547,0.9957
548,0.02054
550,0.04193
556,0.64396
559,0.10613
563,0.99852
565,0.42232
568,0.62272
570,0.62072
571,0.99948
572,0.58648
575,0.99811
578,0.00119
581,0.98375
582,0.00611
583,0.98736
587,0.02368
588,0.99811
592,0.00213
595,0.21407
596,0.29633
597,0.95538
599,0.91718
601,0.97957
603,0.00514
604,0.96765
605,0.32338
610,0.0078
611,0.00285
612,0.53022
616,0.07746
618,0.28289
623,0.99151
628,0.03223
629,0.03914
633,0.00178
636,0.76669
637,0.99712
641,0.82608
644,0.98813
647,0.1897
648,0.9577
649,0.91302
650,0.64439
653,0.99662
656,0.9694
657,0.94823
660,0.0169
662,0.87667
665,0.7557
668,0.03979
669,0.85563
670,0.12897
671,0.05465
676,0.83346
677,0.23118
678,0.02102
679,0.00104
680,0.96816
681,0.06863
683,0.11963
685,0.00345
687,0.29551
688,0.00052
690,0.99273
691,0.61587
694,0.73632
695,0.10159
699,0.75488
700,0.00315
701,0.03389
703,0.00438
705,0.77953
706,0.58892
709,0.88296
710,0.1072
711,0.99048
712,0.41147
714,0.26771
715,0.91846
716,0.07185
717,0.04976
719,0.63092
720,0.005
721,0.88574
725,0.0003
726,0.9354
727,0.82962
728,0.97147
730,0.99473
731,0.01001
732,0.9897
734,0.02926
735,0.99927
736,0.25339
737,0.9162
741,0.00195
742,0.99535
744,0.22815
748,0.73059
750,0.9992
751,0.00272
752,0.99604
755,0.21499
757,0.95769
760,0.17142
761,0.00013
762,0.01253
763,0.00246
764,0.01023
771,0.13724
772,0.01188
773,0.03702
775,0.77397
777,0.84698
779,0.71018
781,0.01119
783,0.31508
786,0.20478
787,0.61321
788,0.79059
789,0.91218
792,0.00288
793,0.00441
794,0.9734
795,0.98289
797,0.00036
801,0.74099
802,0.77499
805,0.13092
806,0.96735
807,0.39371
810,0.00193
811,0.99615
813,0.00012
815,0.95649
817,0.02531
819,0.00054
821,0.23999
822,0.00794
824,0.77335
827,0.67895
829,0.01789
830,0.34827
836,0.45785
839,0.98981
842,0.99229
846,0.99722
848,0.99646
849,0.03173
853,0.07494
856,0.94572
858,0.00276
861,0.45103
862,0.97257
865,1.0
866,0.93339
867,0.94986
868,0.98423
870,0.06898
871,0.00122
874,0.99888
877,0.99307
880,0.11029
881,0.95281
883,0.99497
885,0.96452
887,0.99949
889,0.99515
892,0.24591
894,0.01163
896,0.01543
897,0.02379
898,0.9979
900,0.00989
901,0.00074
902,0.57909
903,0.00026
904,0.89765
905,0.9693
906,0.7751
908,0.77139
909,0.02777
910,0.64052
911,0.05039
912,0.81415
913,0.00357
916,0.54241
917,0.05949
918,0.19728
924,0.00014
925,0.04776
926,0.94868
927,0.57144
928,3e-05
932,0.52904
933,0.00552
934,0.9252
935,0.06864
936,0.33062
937,0.07015
938,0.98328
939,0.3598
941,0.98361
949,0.9205
950,0.99665
953,0.94618
956,0.97167
957,0.20199
958,0.10041
959,0.95842
960,0.55933
964,0.86541
965,0.95712
968,0.08344
969,0.12653
970,0.81587
971,0.9933
972,0.01128
